"Kod";"Nazwa";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2014";0;"-";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2015";0;"-";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2016";0;"-";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2017";9;"-";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2018";8;"-";"";
2200000;"POMORSKIE";"pacjenci";"2014";0;"osoba";"";
2200000;"POMORSKIE";"pacjenci";"2015";0;"osoba";"";
2200000;"POMORSKIE";"pacjenci";"2016";0;"osoba";"";
2200000;"POMORSKIE";"pacjenci";"2017";27;"osoba";"";
2200000;"POMORSKIE";"pacjenci";"2018";131;"osoba";"";
2400000;"ŚLĄSKIE";"ogółem";"2014";12;"ob.";"";
2400000;"ŚLĄSKIE";"ogółem";"2015";13;"ob.";"";
2400000;"ŚLĄSKIE";"ogółem";"2016";13;"ob.";"";
2400000;"ŚLĄSKIE";"ogółem";"2017";7;"ob.";"";
2400000;"ŚLĄSKIE";"ogółem";"2018";1;"ob.";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2014";211;"-";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2015";237;"-";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2016";256;"-";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2017";134;"-";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2018";23;"-";"";
2400000;"ŚLĄSKIE";"pacjenci";"2014";3480;"osoba";"";
2400000;"ŚLĄSKIE";"pacjenci";"2015";3623;"osoba";"";
2400000;"ŚLĄSKIE";"pacjenci";"2016";3710;"osoba";"";
2400000;"ŚLĄSKIE";"pacjenci";"2017";1545;"osoba";"";
2400000;"ŚLĄSKIE";"pacjenci";"2018";322;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2014";4;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2015";4;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2016";4;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2017";4;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2018";0;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2014";80;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2015";80;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2016";80;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2017";80;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2018";0;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2014";1193;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2015";1147;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2016";1074;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2017";1060;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2018";0;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2014";3;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2015";3;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2016";3;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2017";3;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2018";3;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2014";34;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2015";34;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2016";34;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2017";36;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2018";35;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2014";496;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2015";573;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2016";591;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2017";499;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2018";474;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2014";5;"ob.";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2015";6;"ob.";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2016";7;"ob.";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2017";8;"ob.";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2018";8;"ob.";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2014";119;"-";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2015";134;"-";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2016";159;"-";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2017";172;"-";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2018";171;"-";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2014";1547;"osoba";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2015";1813;"osoba";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2016";2016;"osoba";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2017";1997;"osoba";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2018";2143;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2014";1;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2015";1;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2016";1;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2017";1;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2018";0;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2014";5;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2015";5;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2016";5;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2017";6;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2018";0;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2014";36;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2015";93;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2016";76;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2017";89;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2018";0;"osoba";"";
