"Kod";"Nazwa";"Wykaz";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0600000;"LUBELSKIE";"pacjenci";"2014";682;"osoba";"";
0600000;"LUBELSKIE";"pacjenci";"2015";721;"osoba";"";
0600000;"LUBELSKIE";"pacjenci";"2016";739;"osoba";"";
0600000;"LUBELSKIE";"pacjenci";"2017";606;"osoba";"";
0600000;"LUBELSKIE";"pacjenci";"2018";763;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"2014";2;"ob.";"";
0800000;"LUBUSKIE";"ogółem";"2015";2;"ob.";"";
0800000;"LUBUSKIE";"ogółem";"2016";2;"ob.";"";
0800000;"LUBUSKIE";"ogółem";"2017";1;"ob.";"";
0800000;"LUBUSKIE";"ogółem";"2018";1;"ob.";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2014";54;"-";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2015";57;"-";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2016";61;"-";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2017";36;"-";"";
0800000;"LUBUSKIE";"łóżka stan w dniu 31.12";"2018";36;"-";"";
0800000;"LUBUSKIE";"pacjenci";"2014";145;"osoba";"";
0800000;"LUBUSKIE";"pacjenci";"2015";121;"osoba";"";
0800000;"LUBUSKIE";"pacjenci";"2016";81;"osoba";"";
0800000;"LUBUSKIE";"pacjenci";"2017";78;"osoba";"";
0800000;"LUBUSKIE";"pacjenci";"2018";48;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"2014";6;"ob.";"";
1000000;"ŁÓDZKIE";"ogółem";"2015";7;"ob.";"";
1000000;"ŁÓDZKIE";"ogółem";"2016";7;"ob.";"";
1000000;"ŁÓDZKIE";"ogółem";"2017";8;"ob.";"";
1000000;"ŁÓDZKIE";"ogółem";"2018";9;"ob.";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2014";189;"-";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2015";214;"-";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2016";214;"-";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2017";232;"-";"";
1000000;"ŁÓDZKIE";"łóżka stan w dniu 31.12";"2018";282;"-";"";
1000000;"ŁÓDZKIE";"pacjenci";"2014";504;"osoba";"";
1000000;"ŁÓDZKIE";"pacjenci";"2015";519;"osoba";"";
1000000;"ŁÓDZKIE";"pacjenci";"2016";502;"osoba";"";
1000000;"ŁÓDZKIE";"pacjenci";"2017";633;"osoba";"";
1000000;"ŁÓDZKIE";"pacjenci";"2018";695;"osoba";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2014";2;"ob.";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2015";2;"ob.";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2016";2;"ob.";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2017";3;"ob.";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2018";3;"ob.";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2014";97;"-";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2015";94;"-";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2016";94;"-";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2017";104;"-";"";
1200000;"MAŁOPOLSKIE";"łóżka stan w dniu 31.12";"2018";108;"-";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2014";147;"osoba";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2015";196;"osoba";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2016";155;"osoba";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2017";183;"osoba";"";
1200000;"MAŁOPOLSKIE";"pacjenci";"2018";193;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2014";22;"ob.";"";
1400000;"MAZOWIECKIE";"ogółem";"2015";24;"ob.";"";
1400000;"MAZOWIECKIE";"ogółem";"2016";21;"ob.";"";
1400000;"MAZOWIECKIE";"ogółem";"2017";27;"ob.";"";
1400000;"MAZOWIECKIE";"ogółem";"2018";27;"ob.";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2014";986;"-";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2015";1096;"-";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2016";999;"-";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2017";1271;"-";"";
1400000;"MAZOWIECKIE";"łóżka stan w dniu 31.12";"2018";1467;"-";"";
1400000;"MAZOWIECKIE";"pacjenci";"2014";1873;"osoba";"";
1400000;"MAZOWIECKIE";"pacjenci";"2015";1860;"osoba";"";
1400000;"MAZOWIECKIE";"pacjenci";"2016";1863;"osoba";"";
1400000;"MAZOWIECKIE";"pacjenci";"2017";2160;"osoba";"";
1400000;"MAZOWIECKIE";"pacjenci";"2018";2503;"osoba";"";
1600000;"OPOLSKIE";"ogółem";"2014";1;"ob.";"";
1600000;"OPOLSKIE";"ogółem";"2015";0;"ob.";"";
1600000;"OPOLSKIE";"ogółem";"2016";1;"ob.";"";
1600000;"OPOLSKIE";"ogółem";"2017";1;"ob.";"";
1600000;"OPOLSKIE";"ogółem";"2018";2;"ob.";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2014";62;"-";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2015";0;"-";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2016";11;"-";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2017";7;"-";"";
1600000;"OPOLSKIE";"łóżka stan w dniu 31.12";"2018";47;"-";"";
1600000;"OPOLSKIE";"pacjenci";"2014";169;"osoba";"";
1600000;"OPOLSKIE";"pacjenci";"2015";0;"osoba";"";
1600000;"OPOLSKIE";"pacjenci";"2016";63;"osoba";"";
1600000;"OPOLSKIE";"pacjenci";"2017";92;"osoba";"";
1600000;"OPOLSKIE";"pacjenci";"2018";127;"osoba";"";
1800000;"PODKARPACKIE";"ogółem";"2014";13;"ob.";"";
1800000;"PODKARPACKIE";"ogółem";"2015";14;"ob.";"";
1800000;"PODKARPACKIE";"ogółem";"2016";13;"ob.";"";
1800000;"PODKARPACKIE";"ogółem";"2017";14;"ob.";"";
1800000;"PODKARPACKIE";"ogółem";"2018";15;"ob.";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2014";579;"-";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2015";650;"-";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2016";586;"-";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2017";635;"-";"";
1800000;"PODKARPACKIE";"łóżka stan w dniu 31.12";"2018";720;"-";"";
1800000;"PODKARPACKIE";"pacjenci";"2014";1115;"osoba";"";
1800000;"PODKARPACKIE";"pacjenci";"2015";1179;"osoba";"";
1800000;"PODKARPACKIE";"pacjenci";"2016";1026;"osoba";"";
1800000;"PODKARPACKIE";"pacjenci";"2017";1111;"osoba";"";
1800000;"PODKARPACKIE";"pacjenci";"2018";1213;"osoba";"";
2000000;"PODLASKIE";"ogółem";"2014";12;"ob.";"";
2000000;"PODLASKIE";"ogółem";"2015";10;"ob.";"";
2000000;"PODLASKIE";"ogółem";"2016";10;"ob.";"";
2000000;"PODLASKIE";"ogółem";"2017";10;"ob.";"";
2000000;"PODLASKIE";"ogółem";"2018";10;"ob.";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2014";438;"-";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2015";360;"-";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2016";403;"-";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2017";489;"-";"";
2000000;"PODLASKIE";"łóżka stan w dniu 31.12";"2018";435;"-";"";
2000000;"PODLASKIE";"pacjenci";"2014";1006;"osoba";"";
2000000;"PODLASKIE";"pacjenci";"2015";849;"osoba";"";
2000000;"PODLASKIE";"pacjenci";"2016";898;"osoba";"";
2000000;"PODLASKIE";"pacjenci";"2017";924;"osoba";"";
2000000;"PODLASKIE";"pacjenci";"2018";998;"osoba";"";
2200000;"POMORSKIE";"ogółem";"2014";4;"ob.";"";
2200000;"POMORSKIE";"ogółem";"2015";4;"ob.";"";
2200000;"POMORSKIE";"ogółem";"2016";4;"ob.";"";
2200000;"POMORSKIE";"ogółem";"2017";5;"ob.";"";
2200000;"POMORSKIE";"ogółem";"2018";3;"ob.";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2014";204;"-";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2015";204;"-";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2016";208;"-";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2017";205;"-";"";
2200000;"POMORSKIE";"łóżka stan w dniu 31.12";"2018";162;"-";"";
2200000;"POMORSKIE";"pacjenci";"2014";344;"osoba";"";
2200000;"POMORSKIE";"pacjenci";"2015";317;"osoba";"";
2200000;"POMORSKIE";"pacjenci";"2016";328;"osoba";"";
2200000;"POMORSKIE";"pacjenci";"2017";306;"osoba";"";
2200000;"POMORSKIE";"pacjenci";"2018";195;"osoba";"";
2400000;"ŚLĄSKIE";"ogółem";"2014";24;"ob.";"";
2400000;"ŚLĄSKIE";"ogółem";"2015";25;"ob.";"";
2400000;"ŚLĄSKIE";"ogółem";"2016";26;"ob.";"";
2400000;"ŚLĄSKIE";"ogółem";"2017";24;"ob.";"";
2400000;"ŚLĄSKIE";"ogółem";"2018";24;"ob.";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2014";1518;"-";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2015";1485;"-";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2016";1434;"-";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2017";1467;"-";"";
2400000;"ŚLĄSKIE";"łóżka stan w dniu 31.12";"2018";1395;"-";"";
2400000;"ŚLĄSKIE";"pacjenci";"2014";3017;"osoba";"";
2400000;"ŚLĄSKIE";"pacjenci";"2015";3105;"osoba";"";
2400000;"ŚLĄSKIE";"pacjenci";"2016";2827;"osoba";"";
2400000;"ŚLĄSKIE";"pacjenci";"2017";2897;"osoba";"";
2400000;"ŚLĄSKIE";"pacjenci";"2018";2797;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2014";2;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2015";2;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2016";2;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2017";3;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2018";3;"ob.";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2014";50;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2015";50;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2016";50;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2017";65;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"łóżka stan w dniu 31.12";"2018";65;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2014";89;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2015";103;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2016";66;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2017";78;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"pacjenci";"2018";93;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2014";6;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2015";5;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2016";5;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2017";5;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2018";5;"ob.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2014";267;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2015";230;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2016";236;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2017";235;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"łóżka stan w dniu 31.12";"2018";227;"-";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2014";680;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2015";592;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2016";561;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2017";557;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pacjenci";"2018";550;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2014";10;"ob.";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2015";7;"ob.";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2016";9;"ob.";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2017";10;"ob.";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2018";8;"ob.";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2014";563;"-";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2015";275;"-";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2016";557;"-";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2017";604;"-";"";
3000000;"WIELKOPOLSKIE";"łóżka stan w dniu 31.12";"2018";531;"-";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2014";951;"osoba";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2015";806;"osoba";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2016";979;"osoba";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2017";1148;"osoba";"";
3000000;"WIELKOPOLSKIE";"pacjenci";"2018";931;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2014";12;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2015";13;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2016";12;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2017";12;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2018";12;"ob.";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2014";458;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2015";515;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2016";441;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2017";445;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"łóżka stan w dniu 31.12";"2018";436;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2014";1055;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2015";1127;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2016";964;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2017";1037;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"pacjenci";"2018";1126;"osoba";"";
